station	year	month	day	precipitation	min_temp	max_temp	avg_temp	max_wind	min_wind	max_sky	avg_sky	min_vis	max_vis	avg_vis	min_dew	max_dew	avg_dew	min_pres	max_pres	avg_pres	weekday
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
Adelaide	1956	05	05	0.0	5.6	17.8	11.2	2.6	?	?	?	16000.0	40000.0	27250.0	3.3	9.4	6.2	?	?	?	Sat
Adelaide	1956	05	12	3.0	10.0	17.2	14.2	5.1	?	?	?	12000.0	24000.0	21500.0	7.8	12.2	11.0	?	?	?	Sat
Adelaide	1956	05	19	6.0	9.4	16.7	13.3	2.1	?	?	?	11000.0	30000.0	22625.0	8.3	13.3	10.9	?	?	?	Sat
Adelaide	1956	05	26	3.0	11.1	14.4	12.3	3.6	?	?	?	12000.0	30000.0	20250.0	10.0	11.1	10.1	?	?	?	Sat
Adelaide	1956	06	02	0.5	10.0	15.0	11.8	3.1	?	?	?	12000.0	30000.0	21250.0	7.8	10.6	9.2	?	?	?	Sat
Adelaide	1956	06	09	0.0	7.2	13.3	9.8	2.6	?	?	?	12000.0	30000.0	21000.0	4.4	7.8	6.7	?	?	?	Sat
Adelaide	1956	06	16	6.0	10.6	13.9	12.2	12.9	?	?	?	16000.0	24000.0	21375.0	4.4	8.9	7.2	?	?	?	Sat
Adelaide	1956	06	23	0.0	6.1	13.9	8.9	3.1	?	?	?	30000.0	40000.0	37500.0	2.2	4.4	3.5	?	?	?	Sat
Adelaide	1956	06	30	2.0	10.6	13.3	11.9	10.3	?	?	?	24000.0	30000.0	28500.0	7.2	10.6	8.9	?	?	?	Sat
Adelaide	1956	07	07	2.0	8.9	13.9	10.9	5.1	?	?	?	12000.0	30000.0	22875.0	7.8	10.6	9.1	?	?	?	Sat
Adelaide	1956	07	14	0.0	5.6	10.6	8.2	1.0	?	?	?	8000.0	40000.0	23000.0	1.1	5.0	3.9	?	?	?	Sat
Adelaide	1956	07	21	0.0	8.3	15.0	11.5	4.1	?	?	?	2400.0	45000.0	23300.0	5.6	10.6	8.9	?	?	?	Sat
Adelaide	1956	07	28	0.3	12.2	17.8	14.4	10.3	?	?	?	30000.0	40000.0	38750.0	6.1	9.4	8.1	?	?	?	Sat
Adelaide	1956	08	04	0.0	8.3	15.6	11.2	4.1	?	?	?	24000.0	45000.0	29375.0	5.0	7.2	6.0	?	?	?	Sat
Adelaide	1956	08	11	2.0	9.4	11.1	10.1	6.2	?	?	?	16000.0	30000.0	25250.0	4.4	8.3	6.5	?	?	?	Sat
Adelaide	1956	08	18	1.0	9.4	13.3	10.7	12.9	?	?	?	24000.0	30000.0	26250.0	3.9	8.3	5.5	?	?	?	Sat
Adelaide	1956	08	25	2.0	8.3	12.2	10.4	2.6	?	?	?	16000.0	30000.0	22500.0	3.9	9.4	7.1	?	?	?	Sat
Adelaide	1956	09	01	4.0	8.3	12.8	10.1	12.3	?	?	?	4800.0	30000.0	21350.0	2.2	12.2	6.4	?	?	?	Sat
Adelaide	1956	09	08	3.0	10.0	12.2	11.4	10.3	?	?	?	9000.0	30000.0	21375.0	8.3	11.1	9.4	?	?	?	Sat
Adelaide	1956	09	15	0.0	12.8	19.4	15.7	4.1	?	?	?	30000.0	45000.0	36875.0	1.7	6.1	4.2	?	?	?	Sat
Adelaide	1956	09	22	5.0	6.1	12.2	9.1	11.3	?	?	?	16000.0	40000.0	32500.0	2.8	5.6	4.2	?	?	?	Sat
Adelaide	1956	09	29	0.5	10.6	13.9	12.2	8.7	?	?	?	24000.0	45000.0	34875.0	3.9	9.4	6.7	?	?	?	Sat
Adelaide	1956	10	06	0.0	9.4	16.7	12.6	6.7	?	?	?	30000.0	40000.0	36250.0	4.4	7.8	6.2	?	?	?	Sat
Adelaide	1956	10	13	0.0	17.2	26.7	21.8	9.3	?	?	?	30000.0	45000.0	38125.0	2.8	8.3	5.8	?	?	?	Sat
Adelaide	1956	10	20	0.0	12.2	16.7	14.2	6.2	?	?	?	30000.0	45000.0	36875.0	3.3	9.4	6.1	?	?	?	Sat
Adelaide	1956	10	27	2.0	8.9	15.6	12.4	8.2	?	?	?	30000.0	40000.0	37500.0	6.1	8.3	7.6	?	?	?	Sat
Adelaide	1956	11	03	0.3	8.3	15.0	11.7	7.7	?	?	?	30000.0	45000.0	33125.0	3.9	6.7	5.6	?	?	?	Sat
Adelaide	1956	11	10	0.0	12.8	15.6	13.8	11.3	?	?	?	30000.0	40000.0	35000.0	2.8	6.7	4.7	?	?	?	Sat
Adelaide	1956	11	17	0.3	13.9	19.4	16.4	4.1	?	?	?	30000.0	45000.0	33125.0	7.8	12.2	10.6	?	?	?	Sat
Adelaide	1956	11	24	2.0	15.0	19.4	16.9	12.9	?	?	?	16000.0	40000.0	27750.0	8.3	13.9	10.1	?	?	?	Sat
Adelaide	1956	12	01	0.0	21.7	30.0	24.9	7.2	?	?	?	24000.0	45000.0	38000.0	1.7	8.9	5.1	?	?	?	Sat
Adelaide	1956	12	08	0.0	11.1	17.2	14.6	8.2	?	?	?	30000.0	45000.0	34375.0	6.1	8.3	7.5	?	?	?	Sat
Adelaide	1956	12	15	3.0	10.6	18.9	15.5	11.8	?	?	?	30000.0	40000.0	38750.0	6.7	8.9	7.7	?	?	?	Sat
Adelaide	1956	12	22	0.0	11.1	23.3	16.2	7.2	?	?	?	30000.0	40000.0	37500.0	5.0	11.1	8.2	?	?	?	Sat
Adelaide	1956	12	29	0.0	12.2	20.0	16.3	5.7	?	?	?	24000.0	45000.0	38625.0	8.3	12.8	9.9	?	?	?	Sat
Adelaide	1957	01	05	0.0	12.8	22.2	18.1	7.7	?	?	?	40000.0	40000.0	40000.0	9.4	14.4	11.0	?	?	?	Sat
Adelaide	1957	01	12	0.0	20.0	37.2	29.2	9.3	?	?	?	30000.0	45000.0	36250.0	0.6	15.0	5.1	?	?	?	Sat
Adelaide	1957	01	19	0.0	12.2	22.2	17.1	9.3	?	?	?	40000.0	45000.0	41875.0	5.0	9.4	6.8	?	?	?	Sat
Adelaide	1957	02	02	0.0	13.9	21.1	17.5	9.3	?	?	?	30000.0	45000.0	40000.0	7.2	13.9	9.9	?	?	?	Sat
Adelaide	1957	02	09	0.0	16.1	30.0	23.2	8.2	?	?	?	24000.0	40000.0	36750.0	6.1	17.2	11.2	?	?	?	Sat
Adelaide	1957	02	16	0.0	11.1	22.2	16.9	8.7	?	?	?	30000.0	45000.0	40000.0	3.3	9.4	6.7	?	?	?	Sat
Adelaide	1957	02	23	0.0	11.1	21.7	17.1	4.1	?	?	?	30000.0	40000.0	33750.0	8.9	13.3	10.8	?	?	?	Sat
Adelaide	1957	03	09	2.0	14.4	18.3	16.7	11.3	?	?	?	30000.0	45000.0	38750.0	2.8	8.9	6.5	?	?	?	Sat
Adelaide	1957	03	23	0.0	10.6	21.1	16.2	7.2	?	?	?	30000.0	45000.0	40000.0	6.7	11.1	8.6	?	?	?	Sat
Adelaide	1957	03	30	0.0	12.2	23.9	18.3	5.1	?	?	?	24000.0	40000.0	32250.0	3.9	11.1	8.5	?	?	?	Sat
Adelaide	1957	04	06	0.0	9.4	21.1	15.1	5.1	?	?	?	30000.0	40000.0	36250.0	5.6	10.0	8.1	?	?	?	Sat
Adelaide	1957	04	13	0.0	6.1	16.7	12.2	8.7	?	?	?	30000.0	45000.0	40000.0	3.3	5.6	4.5	?	?	?	Sat
Adelaide	1957	04	20	0.0	13.3	18.9	16.7	8.7	?	?	?	16000.0	30000.0	26750.0	8.3	13.9	11.8	?	?	?	Sat
Adelaide	1957	04	27	0.0	13.3	20.6	17.0	8.2	?	?	?	16000.0	40000.0	26500.0	7.2	13.9	10.4	?	?	?	Sat
Adelaide	1957	05	04	0.0	7.2	16.1	11.6	4.1	?	?	?	4800.0	40000.0	21600.0	6.7	11.1	9.2	?	?	?	Sat
Adelaide	1957	05	11	0.0	7.8	16.7	12.4	2.6	?	?	?	24000.0	40000.0	31500.0	5.0	10.6	7.8	?	?	?	Sat
Adelaide	1957	06	01	0.0	10.6	22.8	16.1	3.1	?	?	?	19000.0	30000.0	26375.0	1.1	6.7	3.5	?	?	?	Sat
Adelaide	1957	06	08	0.0	10.0	21.7	15.8	2.6	?	?	?	12000.0	40000.0	28000.0	5.0	8.9	6.9	?	?	?	Sat
Adelaide	1957	06	15	0.0	9.4	17.8	13.3	5.1	?	?	?	24000.0	40000.0	38000.0	3.3	6.1	4.1	?	?	?	Sat
Adelaide	1957	06	22	1.0	11.1	16.1	13.7	4.1	?	?	?	30000.0	40000.0	32500.0	10.0	12.8	11.4	?	?	?	Sat
Adelaide	1957	06	29	1.0	12.2	13.9	12.8	11.3	?	?	?	16000.0	35000.0	29375.0	5.0	10.6	8.0	?	?	?	Sat
Adelaide	1957	07	06	5.0	5.0	12.2	8.5	2.1	?	?	?	4800.0	30000.0	20100.0	4.4	10.0	7.0	?	?	?	Sat
Adelaide	1957	07	13	0.0	9.4	13.9	11.2	7.7	?	?	?	12000.0	30000.0	26250.0	5.0	9.4	7.0	?	?	?	Sat
Adelaide	1957	07	27	0.0	8.3	13.9	10.7	6.2	?	?	?	19000.0	40000.0	30375.0	1.1	3.9	2.6	?	?	?	Sat
Adelaide	1957	08	03	2.0	3.3	12.8	8.4	6.2	?	?	?	24000.0	45000.0	33375.0	1.7	8.3	4.3	?	?	?	Sat
Adelaide	1957	08	10	0.3	3.3	11.7	8.1	10.3	?	?	?	19000.0	30000.0	27875.0	2.8	5.0	4.5	?	?	?	Sat
Adelaide	1957	08	17	0.0	7.8	15.6	11.1	4.1	?	?	?	16000.0	45000.0	27125.0	0.6	3.9	2.4	?	?	?	Sat
Adelaide	1957	09	07	7.0	10.6	13.3	12.2	10.3	?	?	?	16000.0	30000.0	22250.0	6.1	9.4	8.1	?	?	?	Sat
Adelaide	1957	09	14	3.0	5.6	11.1	9.0	15.9	?	?	?	16000.0	30000.0	24250.0	2.2	5.6	4.3	?	?	?	Sat
Adelaide	1957	09	21	0.5	10.0	15.6	12.8	7.7	?	?	?	16000.0	30000.0	21750.0	7.2	8.9	7.8	?	?	?	Sat
Adelaide	1957	10	05	2.0	12.8	18.9	15.1	7.2	?	?	?	24000.0	40000.0	33000.0	8.9	10.0	9.6	?	?	?	Sat
Adelaide	1957	10	12	0.5	10.0	16.1	13.8	6.2	?	?	?	24000.0	30000.0	29250.0	8.3	11.7	9.8	?	?	?	Sat
Adelaide	1957	10	19	0.0	18.9	30.0	26.2	8.2	?	?	?	24000.0	45000.0	39250.0	0.6	10.6	5.2	?	?	?	Sat
Adelaide	1957	10	26	0.0	8.3	17.2	13.4	4.1	?	?	?	24000.0	40000.0	30500.0	5.6	9.4	8.0	?	?	?	Sat
Adelaide	1957	11	02	0.0	15.0	20.6	17.3	8.7	?	?	?	24000.0	30000.0	29250.0	10.0	13.9	11.5	?	?	?	Sat
Adelaide	1957	11	09	0.0	9.4	17.8	13.8	5.1	?	?	?	30000.0	40000.0	35000.0	5.6	11.7	8.6	?	?	?	Sat
Adelaide	1957	11	30	0.0	16.7	21.1	19.4	5.1	?	?	?	30000.0	60000.0	45000.0	9.4	14.4	12.7	?	?	?	Sat
Adelaide	1957	12	14	0.0	13.9	21.7	17.9	8.7	?	?	?	24000.0	45000.0	42375.0	11.7	15.0	12.7	?	?	?	Sat
Adelaide	1957	12	21	1.0	17.8	26.1	23.1	7.7	?	?	?	30000.0	60000.0	43750.0	0.0	11.7	5.1	?	?	?	Sat
Adelaide	1957	12	28	0.0	16.7	28.9	20.0	7.2	?	?	?	6000.0	40000.0	26000.0	10.0	18.3	13.3	?	?	?	Sat
Adelaide	1958	01	04	0.0	18.3	28.9	23.2	7.7	?	?	?	45000.0	60000.0	52500.0	2.8	12.2	7.0	?	?	?	Sat
Adelaide	1958	01	11	0.0	12.8	21.7	17.5	11.8	?	?	?	30000.0	45000.0	37500.0	7.2	10.6	8.9	?	?	?	Sat
